"",PARAGRAPHS
0,POWERFUL LIGHTWEIGHT  EFFICIENT STICK VACUUM The LG CordZero A925KSM Kompressor Stick Vacuum is similar to some other LG cordless vacuum models and that is a very good thing The LG A925KSM is an e...
1,The LG CordZero A925KSM Kompressor arrives very well packed and includes the vacuum motor power head an aluminum telescoping extension wand 20” collapsed 295” extended a universal power nozzle for...
2,Assembly of the charging stand is straightforward and LG provides a quantity of printed product documentation The stand has a weighted base which I found to be very stable The stand may also be wa...
3,The combination tool and crevice tool attachments can be used with or without the telescoping extension wand easily accommodating cleaning out of reach areas as well as closeup cleaning tasks such...
4,Cordless stick vacuums are particularly attractive and desirable for their light weight easy maneuverability and superior convenience The LG CordZero A925 Kompressor excels in those attributes
5,The vacuum weighs only 595 lbs with most of the weight concentrated in the motor unit and battery The handle is large and comfortable The thumb operated power onoff switch and motor speed control ...
6,The power vacuum nozzle is equipped with a ballgimbal mount which affords outstanding maneuverability and directional control The CordZero easily reaches under low furniture and is easily maneuver...
7,The power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors A pair of small rollers facilitates movement on carpeting but nevert...
8,LG provides a specification of 200 watts of suction power If LG is actually describing an air watts rating 200 watts is double the required 100 air watt standard for upright vacuums and is only sl...
9,I found the suction power to be more than adequate The CordZero A925 provides three motor speeds power levels labeled as Normal Power and Turbo The default Normal mode proved to be extremely effec...
10,LG claims 40 minutes of operation per battery in Normal mode 20 minutes in Power mode and 6 minutes in Turbo mode when using the floor cleaning Universal Power Nozzle When used with a nonpowered t...
11,The lithium ion batteries are 259 volt 24 Ah  6216 Wh 23 Ah  5957 Wh minimum capacity Replacement batteries are expensive so they should be properly maintained Battery charging is accommodated by ...
12,Completion of charging of each battery is annunciated by LED indicators 3 incremental LED bars on the vacuum handle for attached battery and a single LED on the charging stand for second battery C...
13,I already had the ThinQ app installed on my LG smartphone Nevertheless it required a few attempts to finally connect the vacuum with the app via wifi The CordZero communicates only on 24GHz wifi
14,The ThinQ app tracks usage of the CordZero by date and cleaning sessions reporting total hoursminutes of use It also displays the duration of use in each of the three power modes and notifies the ...
15,The ThinQ app displays when the battery attached to the vacuum is being charged and when it is fully charged It does not provide any additional battery status data such as the remaining capacity o...
16,One improvement that I believe would be beneficial and appreciated would be the addition of an LED display with pushbutton on the LG batteries Every tool battery pack that I own has such a display...
17,Air filtration is comprised of multiple filter elements and is listed as being 5 stage HEPA filtration The filters are removable and washable A spare prefilter is also included
18,The small dust collection bin can fill quickly The CordZero A925 Kompressor employs a very unique lever operated “piston” to compress the dust and pet hair in the bin thereby extending the interva...
19,I am hopeful that the CordZero A925 proves to be durable and reliable but of course only time will tell The unit is comprised of a significant quantity of plastic components The latch and hinge wh...
20,Overall the LG CordZero A925 Kompressor stick vacuum is excellent It is compact lightweight easily maneuverable and efficient It is powerful yet not unpleasantly noisy It is wellequipped with acce...
21,I believe that you will be just as thoroughly pleased and satisfied with the excellent CordZero A925 Kompressor stick vacuum as we are with ours
22,Highly portable yet powerful stick vacuum The LG CordZero Cordless Stick Vacuum is a great looking relatively light vacuum cleaner which fits in nicely between our existing corded and robot vacuum...
23,Unboxing and assembly seemed to take longer than I had anticipated as some of the references in the quickstart and instructions referred to items that were not included in my set It appears that t...
24,The manual advises charging the batteries before usage so I timed it and it was about an hour or so before the battery was fully charged Once the vacuum charging mount is assembled it provides a s...
25,The charging mount can be freestanding or attached to a wall with the included mounting hardware You can even dispense with the stand’s foot if you are wall mounting and don’t need to freestand th...
